"Species"	"Order"	"Suborder"	"Family"	"Genus"	"Description.author.s"	"Description.year"	"Subspecies"	"Main.biogeographic.region"	"Microhabitat"	"Habitat.type"	"Minimal.elevation..m."	"Maximum.elevation..m."	"Mean.Annual.Temperature...C."	"Temperature.Seasonality..standard.deviation.100."	"Seasonality.Precipitation..coefficient.of.variation...100."	"Insular.endemic..yes.or.no."	"Venomous..yes.or.no."	"Diet"	"Diet..comments"	"Active.time"	"Dorsal.colour"	"Dorsal.pattern"	"Foraging.mode"	"Pupil.Shape"	"Fangs"	"Maximum.Longevity..years."	"Maximum.body.mass..g."	"Maximum.total.length...TL...mm."	"Maximum.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.female.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.male.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Maximum.juvenile.length...SVL...mm..straight.carapace.length.for.turtles...SCL...mm."	"Hatchling.neonate.mass..g."	"Reproductive.mode"	"Sex.determining.mechanism..GSD.or.TSD."	"Mean.number.of.offspring.per.litter.or.number.of.eggs.per.clutch"	"Smallest.clutch.size"	"Largest.clutch.size"	"Number.of.litters.or.clutches.produced.per.year"	"Egg.length..mm."	"Egg.width..mm."	"Mean.Tb"	"Minimum.Tb"	"Maximum.Tb"	"Genetic.data..yes.or.not."	"IUCN.redlist.assessment"	"IUCN.population.trend"	"X"
"Bachia scolecoides"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Vanzolini"	1961	"No"	"Neotropic"	"Fossorial/Terrestrial"	"Savanna"	360	640	NA	NA	12.76	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	3	NA	78	61.3	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bachia trisanale"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Bachia"	"Cope"	1868	"Bachia trisanale trisanale (COPE 1868)
Bachia trisanale abendrothi (PETERS 1871)
Bachia trisanale vermiformis (COPE 1874)"	"Neotropic"	"Fossorial/Terrestrial"	"Forest"	85	551	NA	NA	11.37	"No"	"No"	"Carnivorous"	"Invertebrates"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	1.4	NA	79	67.8	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Boa constrictor"	"Squamata"	"Serpentes"	"Boidae"	"Boa"	"Linnaeus"	1758	"Boa constrictor constrictor LINNAEUS 1758
Boa constrictor longicauda PRICE & RUSSO 1991
Boa constrictor occidentalis PHILIPPI 1873
Boa constrictor ortonii COPE 1877"	"Neotropic"	"Arboreal/Terrestrial"	"Forest/Savanna"	0	1500	24	122.6	0.4	"No"	"No"	NA	NA	"Nocturnal"	NA	NA	"Mixed"	NA	NA	40.4	35283.8	1848.3	1662	NA	NA	NA	NA	"viviparous"	"GSD (XX/XY)"	23	NA	NA	1	"No"	"No"	23	12.2	34	"Yes"	"Least Concern"	"Decreasing"	NA
"Boiruna maculata"	"Squamata"	"Serpentes"	"Colubridae"	"Boiruna"	"Boulenger"	1896	"No"	"Neotropic"	"Terrestrial"	"Desert/Forest/Savanna/Shrubland"	30	880	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"rear-fanged"	NA	748.8	1800	1280	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Boiruna sertaneja"	"Squamata"	"Serpentes"	"Colubridae"	"Boiruna"	"Zaher"	1996	"No"	"Neotropic"	"Terrestrial"	"Savanna/Shrubland"	NA	NA	NA	NA	0.4	"No"	"Yes"	NA	NA	NA	NA	NA	NA	"slit (or vertical elliptical)"	"rear-fanged"	NA	1303.9	2240	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrocophias hyoprora"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrocophias"	"Amaral"	1935	"No"	"Neotropic"	"Terrestrial"	"Forest"	829	1799	25.3	52.2	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	303.1	830	NA	NA	NA	NA	NA	"viviparous"	NA	13	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Bothrocophias microphthalmus"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrocophias"	"Cope"	1875	"No"	"Neotropic"	"Terrestrial"	"Forest"	829	1799	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	806.8	1162	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops alcatraz"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Marques, Martins & Sazima"	2002	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	0	270	NA	NA	NA	"Yes"	"Yes"	"Carnivorous"	"Invertebrates, reptiles  "	"Nocturnal"	"Black/Brown"	"Banded/blotched"	NA	NA	"front-fanged"	NA	71.4	505	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Vulnerable"	"Unknown"	NA
"Bothrops alternatus"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Duméril, Bibron  & Duméril"	1854	"No"	"Neotropic"	"Terrestrial"	"Forest/Savanna/Wetlands"	337	1539	20.1	362.3	0.2	"No"	"Yes"	NA	NA	"Cathemeral"	NA	NA	"AMB"	NA	"front-fanged"	15.2	2399.7	1690	NA	NA	NA	NA	NA	"viviparous"	"GSD (ZW/ZZ)"	14.5	NA	NA	1	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops atrox"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Linnaeus"	1758	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest/Wetlands"	50	1590	24.3	64.2	0.3	"No"	"Yes"	NA	NA	"Nocturnal"	NA	NA	"AMB"	NA	"front-fanged"	8.5	1803.4	1532	NA	NA	NA	NA	NA	"viviparous"	NA	31	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Bothrops bilineatus"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Wied-Neuwied"	1821	"Bothrops bilineatus bilineatus (WIED 1821)
Bothrops bilineatus smaragdinus HOGE 1966"	"Neotropic"	"Arboreal"	"Forest/Wetlands"	150	530	NA	NA	0.3	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	467.7	965	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Bothrops brazili"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Hoge"	1954	"No"	"Neotropic"	"Terrestrial"	"Forest"	10	500	NA	NA	0.3	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	1387.5	1400	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Bothrops cotiara"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Gomes"	1913	"No"	"Neotropic"	"Terrestrial"	"Forest/Savanna"	337	1539	NA	NA	0.1	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	521.2	1000	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Decreasing"	NA
"Bothrops diporus"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Cope"	1862	"No"	"Neotropic"	"Terrestrial"	"Forest/Grassland/Savanna"	0	700	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	15.1	687.8	1100	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops erythromelas"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Amaral"	1923	"No"	"Neotropic"	"Terrestrial"	"Forest/Grassland/Rocky"	30	804	NA	NA	0.4	"No"	"Yes"	NA	NA	NA	NA	NA	"AMB"	NA	"front-fanged"	NA	324.8	850	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops fonsecai"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Hoge & Belluomini"	1959	"No"	"Neotropic"	"Terrestrial"	"Forest"	337	1539	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	650.3	1079	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops germanoi"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Barbo, Booker, Duarte, Chaluppe, Portes-Junior, Franco & Grazziotin"	2022	"No"	"Neotropic"	"Arboreal/Terrestrial"	NA	NA	NA	NA	NA	NA	"Yes"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Bothrops insularis"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Amaral"	1922	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest/Grassland"	0	200	22.9	229.6	NA	"Yes"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	843.7	1180	NA	NA	NA	NA	NA	"viviparous"	"GSD (ZW/ZZ)"	6.5	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Critically Endangered"	"Decreasing"	NA
"Bothrops itapetiningae"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Boulenger"	1907	"No"	"Neotropic"	"Terrestrial"	"Grassland"	337	1539	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	141.9	570	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Vulnerable"	"Decreasing"	NA
"Bothrops jabrensis"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Barbo, Grazziotin, Pereira-Filho, Freitas, Abrantes &  Kokubum"	2022	"No"	"Neotropic"	"Arboreal/Terrestrial"	NA	NA	NA	NA	NA	NA	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Bothrops jararaca"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Wied-Neuwied"	1824	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest/Savanna"	0	1000	21.6	220	0.2	"No"	"Yes"	NA	NA	"Nocturnal"	NA	NA	"AMB"	NA	"front-fanged"	20	2046.4	1600	NA	NA	NA	NA	NA	"viviparous"	"GSD (ZW/ZZ)"	12	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops jararacussu"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Lacerda"	1884	"No"	"Neotropic"	"Terrestrial"	"Forest"	0	700	22.3	214.9	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	"AMB"	NA	"front-fanged"	NA	5169.5	2200	NA	NA	NA	NA	NA	"viviparous"	"GSD (ZW/ZZ)"	21	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops leucurus"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Wagler"	1824	"No"	"Neotropic"	"Terrestrial"	"Forest/Shrubland"	47	1460	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	3639.2	1950	NA	NA	NA	NA	NA	"viviparous"	"GSD (ZW/ZZ)"	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops lutzi"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Miranda-Ribeiro"	1915	"No"	"Neotropic"	"Terrestrial"	"Grassland/Shrubland"	0	800	NA	NA	0.3	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	15.1	272.3	800	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops marajoensis"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Hoge"	1966	"No"	"Neotropic"	"Terrestrial"	"Forest/Grassland"	46	1378	NA	NA	0.8	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	1696	1500	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops marmoratus"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Da Silva & Rodrigues"	2008	"No"	"Neotropic"	"Terrestrial"	"Savanna"	12	749	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	15.1	272.3	800	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops mattogrossensis"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Amaral"	1925	"No"	"Neotropic"	"Terrestrial"	"Forest/Savanna"	8	725	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	1118.3	1300	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"No"	"Least Concern"	"Unknown"	NA
"Bothrops moojeni"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Hoge"	1966	"No"	"Neotropic"	"Terrestrial"	"Savanna"	46	1391	24.6	139.5	0.3	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	5883.4	2300	618	NA	NA	NA	NA	"viviparous"	"GSD (ZW/ZZ)"	15	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops muriciensis"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Ferrarezzi & Freire"	2001	"No"	"Neotropic"	NA	"Forest"	NA	NA	NA	NA	0.3	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	364.1	884	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Critically Endangered"	"Decreasing"	NA
"Bothrops neuwiedi"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Wagler"	1824	"No"	"Neotropic"	"Terrestrial"	"Forest/Grassland/Savanna/Shrubland"	12	749	22.3	185.1	0.2	"No"	"Yes"	NA	NA	"Cathemeral"	NA	NA	NA	NA	"front-fanged"	15.1	521.2	1000	NA	NA	NA	NA	NA	"viviparous"	"GSD (ZW/ZZ)"	8.3	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops oligobalius"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Dal Vechio, Prates, Grazziotin, Graboski &  Rodrigues"	2021	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	NA	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Bothrops otavioi"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Barbo, Grazziotin, Sazima, Martins & Sawaya"	2012	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	NA	NA	NA	NA	NA	"Yes"	"Yes"	"Carnivorous"	"Amphibians, mammals, reptiles"	"Nocturnal"	"Black/Brown"	"Banded/blotched"	NA	NA	"front-fanged"	NA	237.4	NA	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Critically Endangered"	"Unknown"	NA
"Bothrops pauloensis"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Amaral"	1925	"No"	"Neotropic"	"Terrestrial"	"Savanna"	12	749	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	15.1	470	NA	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops pirajai"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Amaral"	1923	"No"	"Neotropic"	"Terrestrial"	"Forest"	NA	NA	NA	NA	0.2	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	1302.7	1370	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Endangered"	"Unknown"	NA
"Bothrops pubescens"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Cope"	1870	"No"	"Neotropic"	"Terrestrial"	"Forest"	0	500	NA	NA	0.1	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	15.1	886	1200	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Bothrops sazimai"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Barbo, Gasparini, Almeida, Zaher, Grazziotin, Gusmão, Ferrarini & Sawaya"	2016	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
"Bothrops taeniatus"	"Squamata"	"Serpentes"	"Viperidae"	"Bothrops"	"Wagler"	1824	"No"	"Neotropic"	"Arboreal"	"Forest"	0	2000	NA	NA	0.3	"No"	"Yes"	NA	NA	NA	NA	NA	NA	NA	"front-fanged"	NA	1275.3	NA	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Least Concern"	"Stable"	NA
"Brasiliscincus agilis"	"Squamata"	"Sauria"	"Scincidae"	"Brasiliscincus"	"Raddi"	1823	"No"	"Neotropic"	"Terrestrial"	"Forest"	0	900	21.99	1679.7	25.15	"No"	"No"	"Carnivorous"	"Arthropods, gastropods, 8.1% fruit (VrcibradicAnd Rocha 1996) - no fruits onAn island (Rocha etAl. 2004)"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	19.1	NA	96	70.6	NA	33.5	NA	"viviparous"	NA	4.5	1	9	NA	"No"	"No"	33	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Brasiliscincus caissara"	"Squamata"	"Sauria"	"Scincidae"	"Brasiliscincus"	"Reboucas-Spieker"	1974	"No"	"Neotropic"	"Arboreal"	"Shrubland"	66	816	20.17	2060.2	14.15	"No"	"No"	NA	NA	NA	NA	NA	"ACT"	NA	"non-fanged"	NA	15.5	NA	90	68.3	NA	31.5	NA	"viviparous"	NA	4.7	2	9	NA	"No"	"No"	NA	NA	NA	"Yes"	"Endangered"	"Unknown"	NA
"Brasiliscincus heathi"	"Squamata"	"Sauria"	"Scincidae"	"Brasiliscincus"	"Schmidt & Inger"	1951	"No"	"Neotropic"	"Terrestrial"	"Savanna"	280	500	24.23	1220.2	30.16	"No"	"No"	"Carnivorous"	"Arthropods (insects, Travassos etAl. 2015, details in Ferreira etAl. 2017), Coleodactylus meridionalis (Alcantara etAl. 2015)"	"Diurnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	16.6	NA	92	67.1	NA	29.7	NA	"viviparous"	NA	4	2	9	NA	"No"	"No"	34.6	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Caaeteboia amarali"	"Squamata"	"Serpentes"	"Colubridae"	"Caaeteboia"	"Wettstein"	1930	"No"	"Neotropic"	"Terrestrial"	"Forest"	77	814	NA	NA	0.3	"No"	NA	"Carnivorous"	"Amphibians "	"Diurnal"	"Black/Brown"	"Uniform"	NA	NA	"rear-fanged"	NA	15.1	386	NA	NA	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Caaeteboia gaeli"	"Squamata"	"Serpentes"	"Colubridae"	"Caaeteboia"	"Montingelli, Barbo, Pereira-Filho, Santana, Rodrigues-França, Grazziotin & Zaher"	2020	"No"	"Neotropic"	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Calamodontophis paucidens"	"Squamata"	"Serpentes"	"Colubridae"	"Calamodontophis"	"Amaral"	1936	"No"	"Neotropic"	"Terrestrial"	"Grassland"	247	685	NA	NA	0.1	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	18.2	416	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"Yes"	"Endangered"	"Unknown"	NA
"Calamodontophis ronaldoi"	"Squamata"	"Serpentes"	"Colubridae"	"Calamodontophis"	"Franco, De Carvalho-Cintra & De Lema"	2006	"No"	"Neotropic"	NA	"Forest"	NA	NA	NA	NA	0.1	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	13.8	373	NA	NA	NA	NA	NA	"viviparous"	NA	NA	NA	NA	NA	"No"	"No"	NA	NA	NA	"No"	"Endangered"	"Decreasing"	NA
"Calyptommatus confusionibus"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Calyptommatus"	"Rodrigues, Zaher & Curcio"	2001	"No"	"Neotropic"	"Fossorial"	"Shrubland"	415	613	NA	NA	27.24	"No"	"No"	"Carnivorous"	"Insects (mostly termites, PiankaAnd Vitt 2003)"	"Nocturnal"	NA	NA	NA	NA	"non-fanged"	NA	1.1	NA	72	68.8	NA	NA	NA	"oviparous"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Calyptommatus leiolepis"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Calyptommatus"	"Rodrigues"	1991	"No"	"Neotropic"	"Fossorial"	"Forest"	415	613	NA	NA	39.37	"No"	"No"	"Carnivorous"	"Insects (mostly termites, PiankaAnd Vitt 2003 / mostly insect larvae, RochaAnd Rodrigues 2005), see Ramos-Pallares etAl. 2014"	"Nocturnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	3	NA	79	64.6	NA	NA	NA	"oviparous"	"GSD (XX/XY)"	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Endangered"	"Unknown"	NA
"Calyptommatus nicterus"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Calyptommatus"	"Rodrigues"	1991	"No"	"Neotropic"	"Fossorial"	"Savanna"	415	613	NA	NA	38.53	"No"	"No"	"Carnivorous"	"Insects (mostly termites, PiankaAnd Vitt 2003)"	"Nocturnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	2.2	NA	69	NA	NA	NA	NA	"oviparous"	"GSD (XX/XY)"	2	NA	NA	NA	NA	NA	NA	NA	NA	"Yes"	"Endangered"	"Unknown"	NA
"Calyptommatus sinebrachiatus"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Calyptommatus"	"Rodrigues"	1991	"No"	"Neotropic"	"Fossorial"	"Savanna"	415	613	NA	NA	41.59	"No"	"No"	"Carnivorous"	"Insects (mostly termites, PiankaAnd Vitt 2003)"	"Nocturnal"	NA	NA	"ACT"	NA	"non-fanged"	NA	2.3	NA	71	NA	NA	NA	NA	"oviparous"	"GSD (XX/XY)"	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Endangered"	"Unknown"	NA
"Caparaonia itaiquara"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Caparaonia"	"Rodrigues, Cassimiro, Pavan, Curcio, Kruth Verdade & Machado-Pellegrino"	2009	"No"	"Neotropic"	"Terrestrial"	"Forest"	1870	2770	NA	NA	20.99	"No"	"No"	NA	NA	"Diurnal"	NA	NA	NA	NA	"non-fanged"	NA	4.9	NA	60	NA	NA	NA	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Cercophis auratus"	"Squamata"	"Serpentes"	"Colubridae"	"Cercophis"	"Schlegel"	1837	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	NA	NA	NA	NA	NA	"No"	NA	NA	NA	NA	NA	NA	NA	"round (or oval)"	"rear-fanged"	NA	168.7	1000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"No"	"Data Deficient"	"Unknown"	NA
"Cercosaura anordosquama"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Cercosaura"	"Sturaro, Rodrigues, Colli, Knowles & Avila-Pires"	2018	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	12.98	"No"	"No"	NA	NA	NA	NA	NA	NA	NA	"non-fanged"	NA	5.5	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	"No"	NA	NA	NA
"Cercosaura argulus"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Cercosaura"	"Peters"	1862	"No"	"Neotropic"	"Arboreal/Terrestrial"	"Forest"	10	2000	NA	NA	12.8	"No"	"No"	"Carnivorous"	"Arthropods"	"Cathemeral"	NA	NA	"ACT"	NA	"non-fanged"	NA	2.7	NA	50	35.8	NA	19	NA	"oviparous"	NA	1.5	1	2	NA	NA	NA	29	NA	NA	"Yes"	"Least Concern"	"Unknown"	NA
"Cercosaura bassleri"	"Squamata"	"Sauria"	"Gymnophthalmidae"	"Cercosaura"	"Ruibal"	1952	"No"	"Neotropic"	"Terrestrial"	NA	NA	NA	NA	NA	10.74	"No"	"No"	NA	NA	"Cathemeral"	NA	NA	NA	NA	"non-fanged"	NA	6.5	NA	65	58.5	NA	26.5	NA	"oviparous"	NA	2	2	2	NA	NA	NA	NA	NA	NA	"Yes"	NA	NA	NA
