family,genus,species,activity,limbs,reproduction,habitat,biomes,major_biome_gard,Seasonality.Precipitation..coefficient.of.variation...100.,cerrado_endemic,phylogeny,distribution
Amphisbaenidae,Amphisbaena,Amphisbaena mebengokre,NA,limbless,NA,NA,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena mertensii,NA,limbless,oviparous,Forest_Savanna,CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",19.36,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena metallurga,NA,limbless,NA,NA,AF,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena miringoera,NA,limbless,NA,Savanna,AM_CE_AF,Tropical & Subtropical Moist Broadleaf Forests,NA,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena mitchelli,NA,limbless,NA,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,NA,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena mongoyo,NA,limbless,NA,NA,AF,NA,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena munoai,NA,limbless,oviparous,Grassland,PP,"Tropical & Subtropical Grasslands, Savannas & Shrublands",21.69,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena nana,NA,limbless,NA,NA,AF_PP,NA,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena neglecta,NA,limbless,NA,NA,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena nigricauda,NA,limbless,oviparous,Shrubland,AF,Tropical & Subtropical Moist Broadleaf Forests,24.39,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena persephone,NA,limbless,NA,NA,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena pretrei,NA,limbless,NA,Savanna_Shrubland,CA_CE_AF,Deserts & Xeric Shrublands,NA,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena prunicolor,NA,limbless,NA,Forest_Grassland_Savanna,CE_AF_PP,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena ridleyi,NA,limbless,NA,NA,AF,Tropical & Subtropical Moist Broadleaf Forests,NA,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena roberti,NA,limbless,oviparous,Savanna,CA_CE_AF,"Tropical & Subtropical Grasslands, Savannas & Shrublands",18.48,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena sanctaeritae,NA,limbless,NA,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena saxosa,NA,limbless,oviparous,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",16.26,yes,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena silvestrii,NA,limbless,oviparous,Forest_Savanna,AM_CE_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",14.98,yes,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena slevini,Nocturnal,limbless,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,13.91,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena steindachneri,NA,limbless,NA,Savanna,AM_CE_PT,Tropical & Subtropical Dry Broadleaf Forests,NA,yes,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena supernumeraria,NA,limbless,NA,Shrubland,CA_AF,Deserts & Xeric Shrublands,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena talisiae,NA,limbless,NA,Savanna,CE,"Tropical & Subtropical Grasslands, Savannas & Shrublands",NA,yes,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena tiaraju,NA,limbless,NA,NA,AF,NA,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena tragorrhectes,NA,limbless,NA,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,NA,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena uroxena,NA,limbless,NA,Savanna,CA,Deserts & Xeric Shrublands,NA,no,yes,yes
Amphisbaenidae,Amphisbaena,Amphisbaena vanzolinii,NA,limbless,oviparous,NA,AM,Tropical & Subtropical Moist Broadleaf Forests,21.43,no,no,yes
Amphisbaenidae,Amphisbaena,Amphisbaena vermicularis,NA,limbless,oviparous,Forest_Savanna,AM_CA_CE_AF_PT,"Tropical & Subtropical Grasslands, Savannas & Shrublands",25.88,no,yes,yes
Aniliidae,Anilius,Anilius scytale,Nocturnal,limbless,viviparous,Forest_Savanna_Wetlands,AM_CA_CE,Tropical & Subtropical Moist Broadleaf Forests,0.3,no,yes,yes
Dactyloidae,Anolis,Anolis auratus,Diurnal,4 well developed limbs,oviparous,Grassland_Savanna,AM,Tropical & Subtropical Moist Broadleaf Forests,16.26,no,yes,yes
Dactyloidae,Anolis,Anolis bombiceps,Diurnal,4 well developed limbs,oviparous,Forest,AM,Tropical & Subtropical Moist Broadleaf Forests,11.65,no,yes,yes
