"order"	"suborder"	"family"	"genus"	"species"	"year"	"author"
"Squamata"	"Serpentes"	"Colubridae"	"Tantilla"	"Tantilla boipiranga"	"2003"	"SAWAYA & SAZIMA, 2003"
"Squamata"	"Serpentes"	"Colubridae"	"Tantilla"	"Tantilla melanocephala"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Serpentes"	"Colubridae"	"Tantilla"	"Tantilla selmae"	"2024"	"AZEVEDO, FRANCO, MENEZES, SARAIVA-KUNZ & GRAZZIOTIN, 2024"
"Squamata"	"Sauria"	"Teiidae"	"Teius"	"Teius oculatus"	"1837"	"(D’ORBIGNY & BIBRON, 1837)"
"Squamata"	"Sauria"	"Teiidae"	"Teius"	"Teius teyou"	"1802"	"(DAUDIN, 1802)"
"Squamata"	"Serpentes"	"Colubridae"	"Thamnodynastes"	"Thamnodynastes longicaudus"	"2003"	"FRANCO, FERREIRA, MARQUES & SAZIMA, 2003"
"Squamata"	"Serpentes"	"Colubridae"	"Thamnodynastes"	"Thamnodynastes pallidus"	"1758"	"(LINNAEUS, 1758)"
"Squamata"	"Serpentes"	"Colubridae"	"Thamnodynastes"	"Thamnodynastes sertanejo"	"2005"	"BAILEY, THOMAS & DA SILVA, 2005"
"Squamata"	"Serpentes"	"Colubridae"	"Thamnodynastes"	"Thamnodynastes silvai"	"2021"	"TREVINE, CAICEDO-PORTILLA, HOOGMOED, THOMAS, FRANCO, MONTINGELLI, OSORNO-MUÑOZ & ZAHER, 2021"
"Squamata"	"Sauria"	"Phyllodactylidae"	"Thecadactylus"	"Thecadactylus rapicauda"	"1782"	"(HOUTTUYN, 1782)"
"Squamata"	"Sauria"	"Phyllodactylidae"	"Thecadactylus"	"Thecadactylus solimoensis"	"2007"	"BERGMANN & RUSSELL, 2007"
"Squamata"	"Serpentes"	"Colubridae"	"Tomodon"	"Tomodon dorsatus"	"1854"	"DUMÉRIL, BIBRON & DUMÉRIL, 1854"
"Testudines"	NA	"Emydidae"	"Trachemys"	"Trachemys adiutrix"	"1995"	"VANZOLINI, 1995"
"Testudines"	NA	"Emydidae"	"Trachemys"	"Trachemys dorbigni"	"1835"	"(DUMÉRIL & BIBRON, 1835)"
"Testudines"	NA	"Emydidae"	"Trachemys"	"Trachemys scripta"	"1792"	"(THUNBERG, 1792)"
"Squamata"	"Sauria"	"Scincidae"	"Trachylepis"	"Trachylepis atlantica"	"1945"	"(SCHMIDT, 1945)"
"Squamata"	"Sauria"	"Scincidae"	"Trachylepis"	"Trachylepis maculata"	"1839"	"(GRAY, 1839)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Tretioscincus"	"Tretioscincus agilis"	"1916"	"(RUTHVEN, 1916)"
"Squamata"	"Sauria"	"Gymnophthalmidae"	"Tretioscincus"	"Tretioscincus oriximinensis"	"1995"	"AVILA-PIRES, 1995"
"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Trilepida acutirostris"	"2011"	"PINTO & CURCIO, 2011"
"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Trilepida brasiliensis"	"1949"	"(LAURENT, 1949)"
"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Trilepida dimidiata"	"1861"	"(JAN, 1861)"
"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Trilepida fuliginosa"	"2006"	"(PASSOS, CARAMASCHI & PINTO, 2006)"
"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Trilepida jani"	"2012"	"(PINTO & FERNANDES, 2012)"
"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Trilepida koppesi"	"1955"	"(AMARAL, 1955)"
"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Trilepida macrolepis"	"1858"	"(PETERS, 1858)"
"Squamata"	"Serpentes"	"Leptotyphlopidae"	"Trilepida"	"Trilepida salgueiroi"	"1955"	"(AMARAL, 1955)"
"Squamata"	"Serpentes"	"Colubridae"	"Tropidodryas"	"Tropidodryas serra"	"1837"	"(SCHLEGEL, 1837)"
"Squamata"	"Serpentes"	"Colubridae"	"Tropidodryas"	"Tropidodryas striaticeps"	"1870"	"(COPE, 1870)"
"Squamata"	"Serpentes"	"Tropidophiidae"	"Tropidophis"	"Tropidophis grapiuna"	"2012"	"CURCIO, SALES-NUNES, SUZART ARGOLO, SKUK & RODRIGUES, 2012"
"Squamata"	"Serpentes"	"Tropidophiidae"	"Tropidophis"	"Tropidophis paucisquamis"	"1901"	"(MÜLLER, 1901)"
"Squamata"	"Serpentes"	"Tropidophiidae"	"Tropidophis"	"Tropidophis preciosus"	"2012"	"CURCIO, SALES-NUNES, SUZART ARGOLO, SKUK & RODRIGUES, 2012"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus callathelys"	"1998"	"HARVEY & GUTBERLET, 1998"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus catalanensis"	"1983"	"GUDYNAS & SKUK, 1983"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus chromatops"	"1998"	"HARVEY & GUTBERLET, 1998"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus cocorobensis"	"1987"	"RODRIGUES, 1987"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus erythrocephalus"	"1987"	"RODRIGUES, 1987"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus etheridgei"	"1982"	"CEI, 1982"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus galileii"	"2025"	"FERREIRA, DIAS, RODRIGUES & CARVALHO, 2025"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus guarani"	"1994"	"ALVAREZ, CEI & SCOLARO, 1994"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus helenae"	"1990"	"(MANZANI & ABE, 1990)"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus hispidus"	"1825"	"(SPIX, 1825)"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus hygomi"	"1862"	"REINHARDT & LÜTKEN, 1862"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus imbituba"	"2013"	"KUNZ & BORGES-MARTINS, 2013"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus insulanus"	"1987"	"RODRIGUES, 1987"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus itambere"	"1987"	"RODRIGUES, 1987"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus jaguaribanus"	"2011"	"PASSOS, LIMA & BORGES-NOJOSA, 2011"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus lagunablanca"	"2016"	"CARVALHO, 2016"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus madeiramamore"	"2023"	"CARVALHO, PAREDERO, VILLALOBOS-CHAVES, FERREIRA, RODRIGUES & CURCIO, 2023"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus montanus"	"1987"	"RODRIGUES, 1987"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus mucujensis"	"1987"	"RODRIGUES, 1987"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus oreadicus"	"1987"	"RODRIGUES, 1987"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus pinima"	"1984"	"(RODRIGUES, 1984)"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus psammonastes"	"1988"	"RODRIGUES, KASAHARA, YONENAGA-YASSUDA, 1988"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus semitaeniatus"	"1825"	"(SPIX, 1825)"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus sertanejo"	"2016"	"CARVALHO, SENA, PELOSO, MACHADO, MONTESINOS, SILVA, CAMPBELL & RODRIGUES, 2016"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus spinulosus"	"1862"	"(COPE, 1862)"
"Squamata"	"Sauria"	"Tropiduridae"	"Tropidurus"	"Tropidurus torquatus"	"1820"	"(WIED-NEUWIED, 1820)"
"Squamata"	"Sauria"	"Teiidae"	"Tupinambis"	"Tupinambis cryptus"	"2016"	"MURPHY, JOWERS, LEHTINEN, CHARLES, COLLI, PERES JR, HENDRY & PYRON, 2016"
"Squamata"	"Sauria"	"Teiidae"	"Tupinambis"	"Tupinambis cuzcoensis"	"2016"	"MURPHY, JOWERS, LEHTINEN, CHARLES, COLLI, PERES JR, HENDRY & PYRON, 2016"
"Squamata"	"Sauria"	"Teiidae"	"Tupinambis"	"Tupinambis longilineus"	"1995"	"AVILA-PIRES, 1995"
