"species"	"order"	"family"	"biomes_salve"	"cerrado_sp"	"limbs"	"reproduction"	"biomes_gard"	"habitat"	"activity"	"cerrado_endemic"	"phylogeny"	"suborder"	"genus"	"year"
"Boiruna maculata"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Desert/Forest/Savanna/Shrubland"	NA	"no"	"yes"	"Serpentes"	"Boiruna"	1896
"Boiruna sertaneja"	"Squamata"	"Dipsadidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Savanna/Shrubland"	NA	"no"	"yes"	"Serpentes"	"Boiruna"	1996
"Bothrocophias hyoprora"	"Squamata"	"Viperidae"	"Amazônia"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Bothrocophias"	1935
"Bothrocophias microphthalmus"	"Squamata"	"Viperidae"	"Amazônia"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Bothrocophias"	1875
"Bothrops alcatraz"	"Squamata"	"Viperidae"	""	"no"	"limbless"	"viviparous"	NA	"Forest"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Bothrops"	2002
"Bothrops alternatus"	"Squamata"	"Viperidae"	"Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna/Wetlands"	"Cathemeral"	"no"	"yes"	"Serpentes"	"Bothrops"	1854
"Bothrops atrox"	"Squamata"	"Viperidae"	"Amazônia, Cerrado"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Wetlands"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Bothrops"	1758
"Bothrops bilineatus"	"Squamata"	"Viperidae"	"Amazônia, Mata Atlântica"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Wetlands"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1821
"Bothrops brazili"	"Squamata"	"Viperidae"	"Amazônia"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1954
"Bothrops cotiara"	"Squamata"	"Viperidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1913
"Bothrops diporus"	"Squamata"	"Viperidae"	"Mata Atlântica, Pampa"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Grassland/Savanna"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1862
"Bothrops erythromelas"	"Squamata"	"Viperidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"viviparous"	"Deserts & Xeric Shrublands"	"Forest/Grassland/Rocky"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1923
"Bothrops fonsecai"	"Squamata"	"Viperidae"	"Mata Atlântica"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1959
"Bothrops germanoi"	"Squamata"	"Viperidae"	""	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Serpentes"	"Bothrops"	2022
"Bothrops insularis"	"Squamata"	"Viperidae"	""	"no"	"limbless"	"viviparous"	NA	"Forest/Grassland"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1922
"Bothrops itapetiningae"	"Squamata"	"Viperidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Grassland"	NA	"yes"	"yes"	"Serpentes"	"Bothrops"	1907
"Bothrops jabrensis"	"Squamata"	"Viperidae"	"Caatinga"	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Serpentes"	"Bothrops"	2022
"Bothrops jararaca"	"Squamata"	"Viperidae"	"Caatinga, Cerrado, Mata Atlântica, Pampa"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Bothrops"	1824
"Bothrops jararacussu"	"Squamata"	"Viperidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1884
"Bothrops leucurus"	"Squamata"	"Viperidae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Shrubland"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1824
"Bothrops lutzi"	"Squamata"	"Viperidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Grassland/Shrubland"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1915
"Bothrops marajoensis"	"Squamata"	"Viperidae"	"Amazônia"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Grassland"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1966
"Bothrops marmoratus"	"Squamata"	"Viperidae"	"Cerrado, Mata Atlântica"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"yes"	"Serpentes"	"Bothrops"	2008
"Bothrops mattogrossensis"	"Squamata"	"Viperidae"	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1925
"Bothrops moojeni"	"Squamata"	"Viperidae"	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"yes"	"Serpentes"	"Bothrops"	1966
"Bothrops muriciensis"	"Squamata"	"Viperidae"	"Mata Atlântica"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Bothrops"	2001
"Bothrops neuwiedi"	"Squamata"	"Viperidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Grassland/Savanna/Shrubland"	"Cathemeral"	"no"	"yes"	"Serpentes"	"Bothrops"	1824
"Bothrops oligobalius"	"Squamata"	"Viperidae"	"Amazônia"	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Serpentes"	"Bothrops"	2021
"Bothrops otavioi"	"Squamata"	"Viperidae"	""	"no"	"limbless"	"viviparous"	NA	"Forest"	"Nocturnal"	"no"	"no"	"Serpentes"	"Bothrops"	2012
"Bothrops pauloensis"	"Squamata"	"Viperidae"	"Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	NA	"yes"	"yes"	"Serpentes"	"Bothrops"	1925
"Bothrops pirajai"	"Squamata"	"Viperidae"	"Mata Atlântica"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Bothrops"	1923
"Bothrops pubescens"	"Squamata"	"Viperidae"	"Mata Atlântica, Pampa"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1870
"Bothrops sazimai"	"Squamata"	"Viperidae"	"Sistema Costeiro-Marinho"	"no"	"limbless"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Serpentes"	"Bothrops"	2016
"Bothrops taeniatus"	"Squamata"	"Viperidae"	"Amazônia"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Bothrops"	1824
"Brasiliscincus agilis"	"Squamata"	"Mabuyidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Brasiliscincus"	1823
"Brasiliscincus caissara"	"Squamata"	"Mabuyidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Shrubland"	NA	"no"	"yes"	"Sauria"	"Brasiliscincus"	1974
"Brasiliscincus heathi"	"Squamata"	"Mabuyidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"viviparous"	"Deserts & Xeric Shrublands"	"Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Brasiliscincus"	1951
"Caaeteboia amarali"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Serpentes"	"Caaeteboia"	1930
"Caaeteboia gaeli"	"Squamata"	"Dipsadidae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Serpentes"	"Caaeteboia"	2020
"Calamodontophis paucidens"	"Squamata"	"Dipsadidae"	"Pampa"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Grassland"	NA	"no"	"yes"	"Serpentes"	"Calamodontophis"	1936
"Calamodontophis ronaldoi"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Calamodontophis"	2006
"Calyptommatus confusionibus"	"Squamata"	"Gymnophthalmidae"	"Caatinga, Cerrado"	"yes"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Shrubland"	"Nocturnal"	"no"	"yes"	"Sauria"	"Calyptommatus"	2001
"Calyptommatus leiolepis"	"Squamata"	"Gymnophthalmidae"	"Caatinga, Cerrado"	"yes"	"hindlimbs only"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest"	"Nocturnal"	"no"	"yes"	"Sauria"	"Calyptommatus"	1991
"Calyptommatus nicterus"	"Squamata"	"Gymnophthalmidae"	"Caatinga"	"no"	"hindlimbs only"	"oviparous"	"Deserts & Xeric Shrublands"	"Savanna"	"Nocturnal"	"no"	"yes"	"Sauria"	"Calyptommatus"	1991
"Calyptommatus sinebrachiatus"	"Squamata"	"Gymnophthalmidae"	"Caatinga"	"no"	"hindlimbs only"	"oviparous"	"Deserts & Xeric Shrublands"	"Savanna"	"Nocturnal"	"no"	"yes"	"Sauria"	"Calyptommatus"	1991
"Caparaonia itaiquara"	"Squamata"	"Gymnophthalmidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Caparaonia"	2009
"Cercophis auratus"	"Squamata"	"Dipsadidae"	"Amazônia, Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Cercophis"	1837
"Cercosaura anordosquama"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"4 well developed limbs"	NA	"Tropical & Subtropical Moist Broadleaf Forests"	NA	NA	"no"	"no"	"Sauria"	"Cercosaura"	2018
"Cercosaura argulus"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Cathemeral"	"no"	"yes"	"Sauria"	"Cercosaura"	1862
"Cercosaura bassleri"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	"Cathemeral"	"no"	"yes"	"Sauria"	"Cercosaura"	1952
"Cercosaura eigenmanni"	"Squamata"	"Gymnophthalmidae"	"Amazônia, Cerrado, Pantanal"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Cercosaura"	1917
"Cercosaura ocellata"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Cercosaura"	1830
"Cercosaura olivacea"	"Squamata"	"Gymnophthalmidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	NA	NA	"no"	"no"	"Sauria"	"Cercosaura"	1845
"Cercosaura oshaughnessyi"	"Squamata"	"Gymnophthalmidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	NA	"Diurnal"	"no"	"yes"	"Sauria"	"Cercosaura"	1885
"Cercosaura parkeri"	"Squamata"	"Gymnophthalmidae"	"Amazônia, Cerrado, Pantanal"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Cercosaura"	1952
"Cercosaura quadrilineata"	"Squamata"	"Gymnophthalmidae"	"Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Sauria"	"Cercosaura"	1876
"Cercosaura schreibersii"	"Squamata"	"Gymnophthalmidae"	"Amazônia, Cerrado, Mata Atlântica, Pampa"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Grassland/Savanna/Shrubland"	"Diurnal"	"no"	"yes"	"Sauria"	"Cercosaura"	1834
"Chatogekko amazonicus"	"Squamata"	"Sphaerodactylidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Chatogekko"	1918
"Chironius bicarinatus"	"Squamata"	"Colubridae"	"Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest"	"Diurnal"	"no"	"yes"	"Serpentes"	"Chironius"	1820
"Chironius brazili"	"Squamata"	"Colubridae"	"Cerrado, Mata Atlântica, Pampa"	"yes"	"limbless"	NA	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Grassland/Savanna/Rocky"	NA	"yes"	"yes"	"Serpentes"	"Chironius"	2015
"Chironius carinatus"	"Squamata"	"Colubridae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Diurnal"	"no"	"yes"	"Serpentes"	"Chironius"	1758
"Chironius diamantina"	"Squamata"	"Colubridae"	"Caatinga"	"no"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	NA	"Diurnal"	"no"	"yes"	"Serpentes"	"Chironius"	2014
"Chironius exoletus"	"Squamata"	"Colubridae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Serpentes"	"Chironius"	1758
"Chironius flavolineatus"	"Squamata"	"Colubridae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Diurnal"	"no"	"yes"	"Serpentes"	"Chironius"	1885
"Chironius foveatus"	"Squamata"	"Colubridae"	"Cerrado, Mata Atlântica, Sistema Costeiro-Marinho"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Serpentes"	"Chironius"	1955
"Chironius fuscus"	"Squamata"	"Colubridae"	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Diurnal"	"no"	"yes"	"Serpentes"	"Chironius"	1758
"Chironius gouveai"	"Squamata"	"Colubridae"	"Mata Atlântica, Pampa"	"no"	"limbless"	"oviparous"	NA	NA	NA	"no"	"no"	"Serpentes"	"Chironius"	2020
"Chironius laevicollis"	"Squamata"	"Colubridae"	"Cerrado, Mata Atlântica, Sistema Costeiro-Marinho"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Serpentes"	"Chironius"	1824
"Chironius laurenti"	"Squamata"	"Colubridae"	"Amazônia, Cerrado, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Grassland"	"Diurnal"	"no"	"yes"	"Serpentes"	"Chironius"	1993
"Chironius maculoventris"	"Squamata"	"Colubridae"	"Pampa"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna/Shrubland"	"Diurnal"	"no"	"yes"	"Serpentes"	"Chironius"	1993
"Chironius multiventris"	"Squamata"	"Colubridae"	"Amazônia"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Serpentes"	"Chironius"	1943
"Chironius quadricarinatus"	"Squamata"	"Colubridae"	"Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Serpentes"	"Chironius"	1827
"Chironius scurrula"	"Squamata"	"Colubridae"	"Amazônia, Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Serpentes"	"Chironius"	1824
"Chlorosoma dunupyana"	"Squamata"	"Dipsadidae"	"Amazônia"	"no"	"limbless"	NA	NA	NA	NA	"no"	"no"	"Serpentes"	"Chlorosoma"	2020
"Chlorosoma laticeps"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	NA	"Diurnal"	"no"	"no"	"Serpentes"	"Chlorosoma"	1900
"Chlorosoma viridissimum"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Desert/Shrubland"	"Diurnal"	"no"	"yes"	"Serpentes"	"Chlorosoma"	1758
"Clelia clelia"	"Squamata"	"Dipsadidae"	"Amazônia, Cerrado, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Clelia"	1803
"Clelia hussami"	"Squamata"	"Dipsadidae"	"Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"no"	"no"	"Serpentes"	"Clelia"	2003
"Clelia plumbea"	"Squamata"	"Dipsadidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	NA	"no"	"yes"	"Serpentes"	"Clelia"	1820
"Cnemidophorus cryptus"	"Squamata"	"Teiidae"	"Amazônia, Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Cnemidophorus"	1993
"Cnemidophorus gramivagus"	"Squamata"	"Teiidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Cnemidophorus"	1987
"Cnemidophorus lemniscatus"	"Squamata"	"Teiidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna/Shrubland"	"Diurnal"	"no"	"yes"	"Sauria"	"Cnemidophorus"	1758
"Coleodactylus brachystoma"	"Squamata"	"Sphaerodactylidae"	"Amazônia, Cerrado, Pantanal"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna"	"Diurnal"	"yes"	"yes"	"Sauria"	"Coleodactylus"	1935
"Coleodactylus elizae"	"Squamata"	"Sphaerodactylidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Coleodactylus"	2012
"Coleodactylus meridionalis"	"Squamata"	"Sphaerodactylidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Coleodactylus"	1888
"Coleodactylus natalensis"	"Squamata"	"Sphaerodactylidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Coleodactylus"	1999
"Coleodactylus septentrionalis"	"Squamata"	"Sphaerodactylidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Coleodactylus"	1980
"Colobodactylus dalcyanus"	"Squamata"	"Gymnophthalmidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Rocky"	NA	"no"	"yes"	"Sauria"	"Colobodactylus"	1977
"Colobodactylus taunayi"	"Squamata"	"Gymnophthalmidae"	"Mata Atlântica"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Sauria"	"Colobodactylus"	1933
"Colobosaura modesta"	"Squamata"	"Gymnophthalmidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Forest/Savanna"	"Diurnal"	"yes"	"yes"	"Sauria"	"Colobosaura"	1862
"Colobosauroides carvalhoi"	"Squamata"	"Gymnophthalmidae"	"Caatinga, Cerrado"	"yes"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Colobosauroides"	1998
"Colobosauroides cearensis"	"Squamata"	"Gymnophthalmidae"	"Caatinga"	"no"	"4 well developed limbs"	"oviparous"	"Deserts & Xeric Shrublands"	"Savanna/Shrubland"	"Diurnal"	"no"	"yes"	"Sauria"	"Colobosauroides"	1991
"Contomastix lacertoides"	"Squamata"	"Teiidae"	"Mata Atlântica, Pampa"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Grasslands, Savannas & Shrublands"	"Savanna/Shrubland"	"Diurnal"	"no"	"yes"	"Sauria"	"Contomastix"	1839
"Contomastix vacariensis"	"Squamata"	"Teiidae"	"Cerrado, Mata Atlântica"	"yes"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Contomastix"	2000
"Copeoglossum arajara"	"Squamata"	"Mabuyidae"	"Caatinga"	"no"	"4 well developed limbs"	"viviparous"	"Deserts & Xeric Shrublands"	"Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Copeoglossum"	1981
"Copeoglossum nigropunctatum"	"Squamata"	"Mabuyidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"4 well developed limbs"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Diurnal"	"no"	"yes"	"Sauria"	"Copeoglossum"	1825
"Corallus batesii"	"Squamata"	"Boidae"	"Amazônia, Cerrado"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Corallus"	1860
"Corallus caninus"	"Squamata"	"Boidae"	"Amazônia"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Corallus"	1758
"Corallus cropanii"	"Squamata"	"Boidae"	"Mata Atlântica"	"no"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Corallus"	1953
"Corallus hortulana"	"Squamata"	"Boidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Savanna"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Corallus"	1758
"Coronelaps lepidus"	"Squamata"	"Dipsadidae"	"Caatinga, Cerrado, Mata Atlântica"	"yes"	"limbless"	"oviparous"	"Deserts & Xeric Shrublands"	"Forest"	NA	"no"	"no"	"Serpentes"	"Coronelaps"	1861
"Crocodilurus amazonicus"	"Squamata"	"Teiidae"	"Amazônia"	"no"	"4 well developed limbs"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	"Diurnal"	"no"	"yes"	"Sauria"	"Crocodilurus"	1825
"Crotalus durissus"	"Squamata"	"Viperidae"	"Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Pantanal"	"yes"	"limbless"	"viviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest/Grassland/Rocky/Savanna/Shrubland"	"Nocturnal"	"no"	"yes"	"Serpentes"	"Crotalus"	1758
"Dendrophidion atlantica"	"Squamata"	"Colubridae"	"Caatinga, Mata Atlântica"	"no"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"no"	"Serpentes"	"Dendrophidion"	2010
"Dendrophidion dendrophis"	"Squamata"	"Colubridae"	"Amazônia, Cerrado"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Dendrophidion"	1837
"Dibernardia affinis"	"Squamata"	"Dipsadidae"	"Caatinga, Cerrado, Mata Atlântica, Pampa"	"yes"	"limbless"	"oviparous"	"Tropical & Subtropical Moist Broadleaf Forests"	"Forest"	NA	"no"	"yes"	"Serpentes"	"Dibernardia"	1858
