Species name (Binomial),GARD id,Valid (June 2026),Order,sub-order,Family,year described,Major Realm (Falaschi et al. 2023 designation),points 18June2026,only type2,Insularity,mappable (>0 points),have elevation data,max length (SVL or TL),female length  (SVL or TL),male length  (SVL or TL),"newborn size (SVL, Total length or mass)",Activity time data,substrate data,Mode of reproduction data,brood size data,Diet data,Foraging mode data,Length of Activity Season data,Population density data,Home range size data,"Body temperature in activity, data",Preferred temperature metadata,CtMin data,CtMax data,Yearly broods data,breeding age (data),Longevity data,IUCN (April 2026; classifiable?),"trend (IUCN, Apr 2026)",genetic data,score
Calotes ceylonensis,R00120,yes,Squamata,Sauria,Agamidae,1887,Oriental,18,no,insular endemic,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,15
Calotes chincollium,R00121,yes,Squamata,Sauria,Agamidae,2003,Oriental,79,no,mainland,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Calotes desilvai,R00122,yes,Squamata,Sauria,Agamidae,2005,Oriental,1,yes,insular endemic,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
Calotes emma,R00124,yes,Squamata,Sauria,Agamidae,1845,Oriental,249,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,15
Calotes farooqi,R12507,yes,Squamata,Sauria,Agamidae,1993,Saharo-Sindian,64,no,mainland,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Calotes geissleri,R12378,yes,Squamata,Sauria,Agamidae,2021,Oriental,31,no,mainland,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Calotes goetzi,R12377,yes,Squamata,Sauria,Agamidae,2021,Oriental,222,no,mainland,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Calotes grandisquamis,R00125,yes,Squamata,Sauria,Agamidae,1875,Oriental,56,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,13
Calotes htunwini,R00126,yes,Squamata,Sauria,Agamidae,2006,Oriental,75,no,mainland,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9
Calotes iadina,R13081,yes,Squamata,Sauria,Agamidae,2024,Oriental,20,no,mainland,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
Calotes irawadi,R00127,yes,Squamata,Sauria,Agamidae,2006,Oriental,745,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11
Calotes jerdoni,R00128,yes,Squamata,Sauria,Agamidae,1870,Oriental,11,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Calotes liocephalus,R00129,yes,Squamata,Sauria,Agamidae,1872,Oriental,6,no,insular endemic,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,15
Calotes liolepis,R00130,yes,Squamata,Sauria,Agamidae,1885,Oriental,37,no,insular endemic,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,13
Calotes maehongsonensis,R13633,yes,Squamata,Sauria,Agamidae,2026,Oriental,27,no,mainland,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Calotes manamendrai,R00131,yes,Squamata,Sauria,Agamidae,2014,Oriental,2,yes,insular endemic,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
Calotes maria,R00132,yes,Squamata,Sauria,Agamidae,1845,Oriental,7,no,mainland,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9
Calotes medogensis,R00133,yes,Squamata,Sauria,Agamidae,1984,Oriental,17,no,mainland,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12
Calotes minor,R10403,yes,Squamata,Sauria,Agamidae,1827,Oriental,30,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,14
Calotes mystaceus,R00134,yes,Squamata,Sauria,Agamidae,1837,Oriental,49,no,mainland,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,16
Calotes nemoricola,R00135,yes,Squamata,Sauria,Agamidae,1853,Oriental,21,no,mainland,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,16
Calotes nigrilabris,R00136,yes,Squamata,Sauria,Agamidae,1860,Oriental,5,no,insular endemic,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,17
Calotes nigriplicatus,R00137,yes,Squamata,Sauria,Agamidae,2000,Australo-Pacific,1,yes,insular endemic,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Calotes paulus,R00349,yes,Squamata,Sauria,Agamidae,1935,Oriental,9,no,mainland,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12
Calotes pethiyagodai,R00138,yes,Squamata,Sauria,Agamidae,2014,Oriental,11,no,insular endemic,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11
